epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,159.378,1.84791,1.66667,1.18679,0.57897,0.53255,0.54009,0.29485,1.6703,1.73601,1.13994,0.000990365,0.000990365,0.000990365
43,163.168,1.95709,1.83275,1.24762,0.57897,0.53255,0.54009,0.29485,1.6703,1.73601,1.13994,0.000973861,0.000973861,0.000973861
44,166.655,1.79278,1.6031,1.17924,0.57897,0.53255,0.54009,0.29485,1.6703,1.73601,1.13994,0.000957358,0.000957358,0.000957358
45,170.397,1.88591,1.6842,1.17966,0.54839,0.55078,0.53185,0.28863,1.65858,1.87214,1.12258,0.000940855,0.000940855,0.000940855
46,174.137,1.95588,1.75907,1.20156,0.54839,0.55078,0.53185,0.28863,1.65858,1.87214,1.12258,0.000924352,0.000924352,0.000924352
47,177.696,1.89225,1.80444,1.25594,0.54839,0.55078,0.53185,0.28863,1.65858,1.87214,1.12258,0.000907848,0.000907848,0.000907848
48,181.519,1.89055,1.68281,1.20432,0.54839,0.55078,0.53185,0.28863,1.65858,1.87214,1.12258,0.000891345,0.000891345,0.000891345
49,185.124,1.8017,1.68177,1.19917,0.54839,0.55078,0.53185,0.28863,1.65858,1.87214,1.12258,0.000874842,0.000874842,0.000874842
50,188.89,1.97778,1.74029,1.26678,0.58497,0.58271,0.578,0.32266,1.63023,1.56502,1.11878,0.000858338,0.000858338,0.000858338
51,192.739,1.80427,1.82739,1.26661,0.58497,0.58271,0.578,0.32266,1.63023,1.56502,1.11878,0.000841835,0.000841835,0.000841835
52,196.454,2.12799,1.70559,1.20605,0.58497,0.58271,0.578,0.32266,1.63023,1.56502,1.11878,0.000825332,0.000825332,0.000825332
53,200.192,1.87589,1.64456,1.2179,0.58497,0.58271,0.578,0.32266,1.63023,1.56502,1.11878,0.000808828,0.000808828,0.000808828
54,203.985,1.91024,1.64183,1.17386,0.58497,0.58271,0.578,0.32266,1.63023,1.56502,1.11878,0.000792325,0.000792325,0.000792325
55,207.407,1.75815,1.58059,1.1464,0.58497,0.58271,0.578,0.32266,1.63023,1.56502,1.11878,0.000775822,0.000775822,0.000775822
56,211.192,1.91813,1.67113,1.20352,0.65148,0.56857,0.60797,0.34594,1.62651,1.43642,1.11583,0.000759318,0.000759318,0.000759318
57,215.16,2.02511,1.82886,1.28756,0.65148,0.56857,0.60797,0.34594,1.62651,1.43642,1.11583,0.000742815,0.000742815,0.000742815
58,218.609,1.76147,1.51111,1.16804,0.65148,0.56857,0.60797,0.34594,1.62651,1.43642,1.11583,0.000726312,0.000726312,0.000726312
59,222.304,1.82362,1.61368,1.18837,0.65148,0.56857,0.60797,0.34594,1.62651,1.43642,1.11583,0.000709809,0.000709809,0.000709809
60,225.803,1.924,1.62058,1.2021,0.65148,0.56857,0.60797,0.34594,1.62651,1.43642,1.11583,0.000693305,0.000693305,0.000693305
61,229.439,1.86297,1.56328,1.19525,0.64866,0.57844,0.63614,0.37059,1.59246,1.37079,1.10809,0.000676802,0.000676802,0.000676802
62,233.198,1.92072,1.65456,1.20224,0.64866,0.57844,0.63614,0.37059,1.59246,1.37079,1.10809,0.000660299,0.000660299,0.000660299
63,237.118,1.9854,1.62536,1.19035,0.64866,0.57844,0.63614,0.37059,1.59246,1.37079,1.10809,0.000643795,0.000643795,0.000643795
64,241.007,2.05709,1.61828,1.19248,0.64866,0.57844,0.63614,0.37059,1.59246,1.37079,1.10809,0.000627292,0.000627292,0.000627292
65,244.663,1.62999,1.44701,1.143,0.64866,0.57844,0.63614,0.37059,1.59246,1.37079,1.10809,0.000610789,0.000610789,0.000610789
66,248.46,1.86876,1.58213,1.21033,0.69916,0.55807,0.65433,0.37798,1.59514,1.33804,1.10729,0.000594286,0.000594286,0.000594286
67,252.074,1.74329,1.53425,1.15672,0.69916,0.55807,0.65433,0.37798,1.59514,1.33804,1.10729,0.000577782,0.000577782,0.000577782
68,256.124,1.96269,1.55663,1.14524,0.69916,0.55807,0.65433,0.37798,1.59514,1.33804,1.10729,0.000561279,0.000561279,0.000561279
69,260.209,2.05242,1.62892,1.20691,0.69916,0.55807,0.65433,0.37798,1.59514,1.33804,1.10729,0.000544776,0.000544776,0.000544776
70,264.12,1.85297,1.52852,1.17182,0.69916,0.55807,0.65433,0.37798,1.59514,1.33804,1.10729,0.000528272,0.000528272,0.000528272
71,267.905,1.76343,1.45883,1.16423,0.69916,0.55807,0.65433,0.37798,1.59514,1.33804,1.10729,0.000511769,0.000511769,0.000511769
72,271.732,1.85658,1.59644,1.19402,0.66447,0.58485,0.65315,0.38363,1.56641,1.28277,1.09106,0.000495266,0.000495266,0.000495266
73,275.329,1.67201,1.50484,1.1942,0.66447,0.58485,0.65315,0.38363,1.56641,1.28277,1.09106,0.000478762,0.000478762,0.000478762
74,279.054,1.73941,1.6081,1.18804,0.66447,0.58485,0.65315,0.38363,1.56641,1.28277,1.09106,0.000462259,0.000462259,0.000462259
75,282.847,1.959,1.5362,1.17753,0.66447,0.58485,0.65315,0.38363,1.56641,1.28277,1.09106,0.000445756,0.000445756,0.000445756
76,286.7,1.81065,1.60718,1.18722,0.66447,0.58485,0.65315,0.38363,1.56641,1.28277,1.09106,0.000429253,0.000429253,0.000429253
77,290.478,1.69583,1.45935,1.13356,0.68308,0.60038,0.66793,0.39977,1.52471,1.24972,1.07918,0.000412749,0.000412749,0.000412749
78,295.227,1.89911,1.6342,1.20822,0.68308,0.60038,0.66793,0.39977,1.52471,1.24972,1.07918,0.000396246,0.000396246,0.000396246
79,299.057,1.65954,1.39061,1.14248,0.68308,0.60038,0.66793,0.39977,1.52471,1.24972,1.07918,0.000379743,0.000379743,0.000379743
